Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
G-YMMT,-11.009502410888672,6.198863983154297,37000.0 ft,2023-07-08 07:56:43.000,,,<0.25 nm,OK,OK,0.8275,0.0 ft/min,
F-OLRE,0.5578994750976562,45.879249572753906,35000.0 ft,2023-07-08 07:57:33.750,,,<0.25 nm,OK,OK,0.848,-32.0 ft/min,
F-OLRE,0.40203094482421875,45.9473991394043,35000.0 ft,2023-07-08 07:58:52.000,,,<0.25 nm,OK,OK,0.849,-16.0 ft/min,
F-OLRE,0.3180885314941406,45.98430633544922,35000.0 ft,2023-07-08 07:59:34.000,,,<0.25 nm,OK,OK,0.8505,0.0 ft/min,
F-OLRE,-0.16359329223632812,46.195106506347656,35000.0 ft,2023-07-08 08:03:34.000,,,<0.25 nm,OK,OK,0.8535,0.0 ft/min,
3B-NCE,-15.069122314453125,56.32484436035156,37004.0 ft,2023-07-08 08:04:12.000,,,<0.05 nm,OK,OK,0.8565,-80.0 ft/min,2023-07-08 08:26:48.000
F-OLRE,-0.3563690185546875,46.27767562866211,35000.0 ft,2023-07-08 08:05:10.000,,,<0.25 nm,OK,OK,0.853,16.0 ft/min,
N12010,43.40646743774414,-15.587196350097656,38992.0 ft,2023-07-08 08:11:58.000,60.5 kt,-48.0 C,<0.05 nm,OK,OK,0.857,16.0 ft/min,2023-07-08 08:24:35.000
N836AA,42.60841369628906,-22.559223175048828,39000.0 ft,2023-07-08 08:13:38.875,80.0 kt,-61.0 C,<0.05 nm,OK,OK,0.861,0.0 ft/min,2023-07-08 08:26:20.875
OE-LPD,66.05375289916992,-10.396842956542969,38000.0 ft,2023-07-08 08:16:28.500,43.5 kt,-53.75 C,<0.25 nm,OK,OK,0.8395,0.0 ft/min,2023-07-08 08:17:39.500
